Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.01    650.49     0.07                             R_DrawEntityBBoxes_Callback
  0.01    650.56     0.07                             VM_CL_findbox
  0.01    650.63     0.07  4162099     0.00     0.00  R_Shadow_BounceGrid_BlurPixels_Task
  0.01    650.70     0.07  2050969     0.00     0.00  R_ProcessTransparentTextureSurfaceList
  0.01    650.77     0.07  1514674     0.00     0.00  R_Shadow_DrawLight
  0.01    650.84     0.07  1436011     0.00     0.00  Mod_Alias_GetTagMatrix
  0.01    650.91     0.07  1011341     0.00     0.00  RSurf_ActiveCustomEntity
  0.01    650.98     0.07   384358     0.00     0.00  Mod_BSP_FatPVS
  0.01    651.05     0.07   200693     0.00     0.00  SV_Frame
  0.01    651.12     0.07   200692     0.00     0.00  CL_Frame
  0.01    651.19     0.07   200683     0.00     0.00  TaskQueue_Frame
  0.01    651.26     0.07   192608     0.00     0.00  Draw_Frame
  0.01    651.33     0.07      426     0.00     0.00  Mod_MakeCollisionBIH
  0.01    651.40     0.07   844682     0.00     0.00  R_DrawCorona
  0.01    651.46     0.06  4395665     0.00     0.00  Collision_Cache_ClipLineToWorldSurfaces
  0.01    651.52     0.06  3949589     0.00     0.00  VM_CL_pointcontents
  0.01    651.58     0.06  3739126     0.00     0.00  VM_getimagesize
  0.01    651.64     0.06  1502591     0.00     0.00  R_RTLight_Update
  0.01    651.70     0.06   397653     0.00     0.00  CL_AdjustAngles
  0.01    651.76     0.06   376656     0.00     0.00  DrawQ_Start
  0.01    651.82     0.06   191910     0.00     0.00  Sbar_ShowFPS
  0.01    651.88     0.06   191777     0.00     0.00  R_MeshQueue_BeginScene
  0.01    651.94     0.06   184045     0.00     0.00  CL_VM_UpdateView
  0.01    652.00     0.06    14030     0.00     0.00  VM_strtoupper
  0.01    652.06     0.06     2086     0.00     0.00  R_SetupTexture
  0.01    652.12     0.06                             CLVM_load_edict
  0.01    652.18     0.06                             VM_CL_ResetParticle
  0.01    652.24     0.06                             VM_vectoyaw
  0.01    652.30     0.06 40489823     0.00     0.00  u8_fromchar
  0.01    652.36     0.06  8566915     0.00     0.00  VM_vlen
  0.01    652.42     0.06  4162668     0.00     0.00  VM_CL_skel_set_bone
  0.01    652.48     0.06  1665385     0.00     0.00  R_SetupShader_Generic_NoTexture
  0.01    652.54     0.06  1518334     0.00     0.00  Collision_TraceBrushTriangleFloat
  0.01    652.60     0.06  1082976     0.00     0.00  u8_strlen
  0.01    652.66     0.06   840691     0.00     0.00  u8_strpad_colorcodes
  0.01    652.72     0.06   788257     0.00     0.00  R_Shadow_RenderMode_Lighting
  0.01    652.78     0.06   191771     0.00     0.00  R_Shadow_DrawCoronas
  0.01    652.84     0.06   111203     0.00     0.00  PolygonD_QuadForPlane
  0.01    652.90     0.06    40826     0.00     0.00  S_FindName
  0.01    652.96     0.06    20306     0.00     0.00  Cmd_ExecuteString
  0.01    653.01     0.06 11542152     0.00     0.00  dpsnprintf
  0.01    653.07     0.06  1332112     0.00     0.00  DrawQ_Fill
  0.01    653.12     0.06     2388     0.00     0.00  VM_itof
  0.01    653.17     0.05 32576108     0.00     0.00  VM_CL_getstatf
  0.01    653.22     0.05 22706273     0.00     0.00  getdrawfontscale
  0.01    653.27     0.05  7886126     0.00     0.00  GL_Color
  0.01    653.32     0.05  7357908     0.00     0.00  GL_Scissor
  0.01    653.37     0.05  7059798     0.00     0.00  R_Mod_Draw
  0.01    653.42     0.05  1810846     0.00     0.00  _Mem_Alloc
  0.01    653.47     0.05  1029156     0.00     0.00  Mod_Skeletal_AnimateVertices
  0.01    653.52     0.05   897399     0.00     0.00  R_Shadow_ScissorForBBox
  0.01    653.57     0.05   736165     0.00     0.00  DrawQ_RecalcView
  0.01    653.62     0.05   633869     0.00     0.00  Mod_Mesh_Reset
  0.01    653.67     0.05   577690     0.00     0.00  R_BufferData_Resize
  0.01    653.72     0.05   541006     0.00     0.00  Matrix4x4_ConcatRotate
  0.01    653.77     0.05   400379     0.00     0.00  InfoString_GetValue
  0.01    653.82     0.05   383835     0.00     0.00  Mod_BSP_FatPVS_RecursiveBSPNode
  0.01    653.87     0.05   200682     0.00     0.00  Curl_Frame
  0.01    653.92     0.05   198830     0.00     0.00  IN_Move
  0.01    653.97     0.05   192611     0.00     0.00  R_UpdateVariables
  0.01    654.02     0.05   191775     0.00     0.00  R_Shadow_DrawLights
  0.01    654.07     0.05   191774     0.00     0.00  R_UpdateFog
  0.01    654.12     0.05   184077     0.00     0.00  VM_checkextension
  0.01    654.17     0.05   157954     0.00     0.00  CLVM_init_edict
  0.01    654.22     0.05   147943     0.00     0.00  R_DecalSystem_SplatEntities
  0.01    654.27     0.05   118655     0.00     0.00  Matrix4x4_CreateScale3
  0.01    654.32     0.05    27801     0.00     0.00  EntityFrame5_CL_ReadFrame
  0.01    654.37     0.05    19961     0.00     0.00  loadimagepixelsbgra
  0.01    654.42     0.05    13633     0.00     0.00  R_LoadTextureDDSFile
  0.01    654.47     0.05    10333     0.00     0.00  Collision_NewBrushFromPlanes
  0.01    654.52     0.05     4850     0.00     0.00  VM_localcmd
  0.01    654.57     0.05       14     0.00     0.00  Mod_Mesh_Destroy
  0.01    654.62     0.05        1     0.05     0.05  MP_Shutdown
  0.01    654.67     0.05                             Matrix4x4_Reflect
  0.01    654.72     0.05                             Mod_CollisionBIH_PointSuperContents
  0.01    654.77     0.05                             VM_CL_makestatic
  0.01    654.82     0.05                             VM_drawrotpic
  0.01    654.87     0.05                             VM_freepic
  0.01    654.92     0.05 45959681     0.00     0.00  GL_DepthTest
